"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Albania","Europe",1952,55.23,1282697,1601.056136
"2","Albania","Europe",1957,59.28,1476505,1942.284244
"3","Albania","Europe",1962,64.82,1728137,2312.888958
"4","Albania","Europe",1967,66.22,1984060,2760.196931
"5","Albania","Europe",1972,67.69,2263554,3313.422188
"6","Albania","Europe",1977,68.93,2509048,3533.00391
"7","Albania","Europe",1982,70.42,2780097,3630.880722
"8","Albania","Europe",1987,72,3075321,3738.932735
"9","Albania","Europe",1992,71.581,3326498,2497.437901
"10","Albania","Europe",1997,72.95,3428038,3193.054604
"11","Albania","Europe",2002,75.651,3508512,4604.211737
"12","Albania","Europe",2007,76.423,3600523,5937.029526
"13","Austria","Europe",1952,66.8,6927772,6137.076492
"14","Austria","Europe",1957,67.48,6965860,8842.59803
"15","Austria","Europe",1962,69.54,7129864,10750.72111
"16","Austria","Europe",1967,70.14,7376998,12834.6024
"17","Austria","Europe",1972,70.63,7544201,16661.6256
"18","Austria","Europe",1977,72.17,7568430,19749.4223
"19","Austria","Europe",1982,73.18,7574613,21597.08362
"20","Austria","Europe",1987,74.94,7578903,23687.82607
"21","Austria","Europe",1992,76.04,7914969,27042.01868
"22","Austria","Europe",1997,77.51,8069876,29095.92066
"23","Austria","Europe",2002,78.98,8148312,32417.60769
"24","Austria","Europe",2007,79.829,8199783,36126.4927
"25","Belgium","Europe",1952,68,8730405,8343.105127
"26","Belgium","Europe",1957,69.24,8989111,9714.960623
"27","Belgium","Europe",1962,70.25,9218400,10991.20676
"28","Belgium","Europe",1967,70.94,9556500,13149.04119
"29","Belgium","Europe",1972,71.44,9709100,16672.14356
"30","Belgium","Europe",1977,72.8,9821800,19117.97448
"31","Belgium","Europe",1982,73.93,9856303,20979.84589
"32","Belgium","Europe",1987,75.35,9870200,22525.56308
"33","Belgium","Europe",1992,76.46,10045622,25575.57069
"34","Belgium","Europe",1997,77.53,10199787,27561.19663
"35","Belgium","Europe",2002,78.32,10311970,30485.88375
"36","Belgium","Europe",2007,79.441,10392226,33692.60508
"37","Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948
"38","Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176
"39","Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679
"40","Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423
"41","Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975
"42","Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305
